(0,0)
(2,<)
(0,1)
(2,>)
(0,2)
(0,3)
(1,()
(1,))
(1,{)
(4,0)
(0,4)
(3,->)
(1,,)
(0,5)
(1,;)
(4,6)
(0,6)
(3,->)
(9,0)
(1,;)
(4,9)
(0,7)
(3,->)
(8,@)
(1,;)
(0,8)
(3,->)
(1,;)
(0,9)
(3,->)
(6,016)
(1,;)
(0,10)
(3,->)
(6,0x16)
(1,;)
(0,11)
(1,()
(1,))
(1,;)
(0,12)
(1,()
(7,0)
(1,))
(1,;)
(0,13)
(1,()
(7,1)
(1,,)
(0,14)
(1,))
(1,;)
(4,2)
(1,{)
(0,15)
(1,()
(7,2)
(1,,)
(0,16)
(5,+)
(5,+)
(1,))
(1,;)
(1,})
(4,3)
(1,{)
(1,()
(0,17)
(2,<=)
(1,))
(1,;)
(1,})
(4,5)
(1,()
(0,18)
(2,=)
(1,;)
(0,19)
(2,=)
(1,;)
(0,20)
(5,+)
(5,+)
(1,))
(1,{)
(0,21)
(1,()
(7,3)
(1,,)
(0,22)
(1,))
(1,})
(4,8)
(1,()
(0,23)
(2,<)
(9,1)
(1,))
(1,{)
(0,24)
(1,()
(7,4)
(1,))
(1,;)
(1,})
(4,10)
(1,{)
(0,25)
(1,()
(7,5)
(1,))
(1,;)
(1,})
(4,7)
(1,;)
(1,})
